mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,target,lag_1h
6,0,0,3,1,1,0.7,0.6667,0.79,0.1642,34,61.0
6,1,0,3,1,1,0.7,0.6667,0.84,0.2537,17,34.0
6,2,0,3,1,1,0.7,0.6667,0.79,0.1642,3,17.0
6,3,0,3,1,1,0.68,0.6364,0.89,0.194,6,3.0
6,4,0,3,1,2,0.68,0.6364,0.89,0.2239,4,6.0
6,5,0,3,1,2,0.66,0.5909,0.89,0.0896,21,4.0
6,6,0,3,1,2,0.68,0.6364,0.89,0.0896,128,21.0
6,7,0,3,1,2,0.7,0.6667,0.79,0.1642,284,128.0
6,8,0,3,1,2,0.72,0.697,0.79,0.194,454,284.0
6,9,0,3,1,2,0.74,0.7121,0.74,0.2239,207,454.0
6,10,0,3,1,2,0.76,0.7424,0.75,0.2537,115,207.0
6,11,0,3,1,2,0.82,0.803,0.59,0.2239,112,115.0
6,12,0,3,1,1,0.86,0.8333,0.53,0.0,169,112.0
6,13,0,3,1,1,0.9,0.8182,0.37,0.194,154,169.0
6,14,0,3,1,1,0.9,0.8182,0.37,0.2537,145,154.0
6,15,0,3,1,1,0.9,0.8333,0.39,0.2985,152,145.0
6,16,0,3,1,1,0.86,0.803,0.47,0.2985,266,152.0
6,17,0,3,1,1,0.86,0.803,0.47,0.2985,486,266.0
6,18,0,3,1,3,0.82,0.7879,0.56,0.3881,309,486.0
6,19,0,3,1,2,0.74,0.7121,0.79,0.1642,264,309.0
6,20,0,3,1,2,0.74,0.7121,0.79,0.2537,256,264.0
6,21,0,3,1,1,0.74,0.697,0.7,0.2836,190,256.0
6,22,0,3,1,1,0.74,0.697,0.66,0.1343,129,190.0
6,23,0,3,1,1,0.74,0.6667,0.51,0.1642,69,129.0
6,0,0,4,1,1,0.74,0.6515,0.4,0.3582,42,69.0
6,1,0,4,1,1,0.72,0.6515,0.38,0.1045,15,42.0
6,2,0,4,1,1,0.7,0.6364,0.39,0.0,6,15.0
6,3,0,4,1,1,0.66,0.6212,0.44,0.1045,4,6.0
6,4,0,4,1,1,0.66,0.6212,0.41,0.194,3,4.0
6,5,0,4,1,1,0.66,0.6212,0.39,0.2239,31,3.0
6,6,0,4,1,1,0.66,0.6212,0.39,0.1343,113,31.0
6,7,0,4,1,1,0.7,0.6364,0.34,0.2537,304,113.0
6,8,0,4,1,1,0.7,0.6364,0.32,0.2985,467,304.0
6,9,0,4,1,1,0.72,0.6364,0.26,0.3582,225,467.0
6,10,0,4,1,1,0.72,0.6515,0.28,0.4925,139,225.0
6,11,0,4,1,1,0.74,0.6515,0.28,0.3881,165,139.0
6,12,0,4,1,1,0.76,0.6667,0.25,0.4627,232,165.0
6,13,0,4,1,1,0.8,0.6818,0.24,0.3582,203,232.0
6,14,0,4,1,1,0.78,0.6667,0.24,0.3284,185,203.0
6,15,0,4,1,1,0.8,0.6818,0.21,0.3881,188,185.0
6,16,0,4,1,1,0.8,0.6818,0.22,0.4925,318,188.0
6,17,0,4,1,1,0.76,0.6515,0.2,0.5224,572,318.0
6,18,0,4,1,1,0.74,0.6515,0.22,0.3881,525,572.0
6,19,0,4,1,1,0.72,0.6364,0.23,0.2985,379,525.0
6,20,0,4,1,1,0.7,0.6364,0.24,0.194,337,379.0
6,21,0,4,1,1,0.66,0.6212,0.31,0.194,248,337.0
6,22,0,4,1,1,0.64,0.6212,0.33,0.2537,155,248.0
6,23,0,4,1,1,0.62,0.6212,0.35,0.2239,112,155.0
6,0,0,5,1,1,0.62,0.6212,0.38,0.2836,68,112.0
6,1,0,5,1,1,0.6,0.6212,0.38,0.3582,22,68.0
6,2,0,5,1,1,0.56,0.5303,0.43,0.2239,12,22.0
6,3,0,5,1,1,0.54,0.5152,0.49,0.2239,5,12.0
6,4,0,5,1,1,0.52,0.5,0.48,0.3284,6,5.0
6,5,0,5,1,1,0.52,0.5,0.48,0.3582,28,6.0
6,6,0,5,1,1,0.54,0.5152,0.45,0.2985,106,28.0
6,7,0,5,1,1,0.54,0.5152,0.45,0.2537,277,106.0
6,8,0,5,1,2,0.56,0.5303,0.43,0.3284,502,277.0
6,9,0,5,1,1,0.58,0.5455,0.4,0.1642,230,502.0
6,10,0,5,1,1,0.62,0.6212,0.33,0.2537,161,230.0
6,11,0,5,1,1,0.64,0.6212,0.31,0.3284,192,161.0
6,12,0,5,1,1,0.66,0.6212,0.27,0.2836,259,192.0
6,13,0,5,1,1,0.68,0.6212,0.26,0.2537,248,259.0
6,14,0,5,1,1,0.7,0.6364,0.28,0.2836,240,248.0
6,15,0,5,1,1,0.7,0.6364,0.28,0.2836,212,240.0
6,16,0,5,1,1,0.72,0.6364,0.26,0.3284,349,212.0
6,17,0,5,1,1,0.72,0.6364,0.25,0.2836,558,349.0
6,18,0,5,1,1,0.7,0.6364,0.24,0.2985,564,558.0
6,19,0,5,1,1,0.68,0.6212,0.26,0.2836,391,564.0
6,20,0,5,1,1,0.64,0.6212,0.29,0.1642,293,391.0
6,21,0,5,1,1,0.64,0.6212,0.29,0.1045,247,293.0
6,22,0,5,1,1,0.62,0.6212,0.35,0.0,171,247.0
6,23,0,5,1,1,0.58,0.5455,0.46,0.1045,171,171.0
6,0,0,6,0,1,0.56,0.5303,0.52,0.0,93,171.0
6,1,0,6,0,1,0.54,0.5152,0.64,0.1045,94,93.0
6,2,0,6,0,1,0.54,0.5152,0.56,0.194,59,94.0
6,3,0,6,0,1,0.52,0.5,0.59,0.1045,18,59.0
6,4,0,6,0,1,0.52,0.5,0.59,0.0896,15,18.0
6,5,0,6,0,1,0.5,0.4848,0.64,0.0,8,15.0
6,6,0,6,0,1,0.54,0.5152,0.6,0.0,28,8.0
6,7,0,6,0,1,0.56,0.5303,0.56,0.0,87,28.0
6,8,0,6,0,1,0.6,0.6212,0.46,0.0896,125,87.0
6,9,0,6,0,1,0.62,0.6212,0.43,0.1343,224,125.0
6,10,0,6,0,1,0.64,0.6212,0.38,0.1045,317,224.0
6,11,0,6,0,1,0.66,0.6212,0.36,0.1343,369,317.0
6,12,0,6,0,1,0.7,0.6364,0.32,0.1642,420,369.0
6,13,0,6,0,1,0.74,0.6515,0.28,0.1343,456,420.0
6,14,0,6,0,1,0.74,0.6515,0.33,0.2239,451,456.0
6,15,0,6,0,2,0.74,0.6515,0.27,0.4179,404,451.0
6,16,0,6,0,2,0.72,0.6515,0.3,0.1343,440,404.0
6,17,0,6,0,2,0.72,0.6515,0.34,0.2537,344,440.0
6,18,0,6,0,2,0.74,0.6515,0.3,0.1642,341,344.0
6,19,0,6,0,2,0.7,0.6364,0.39,0.0896,285,341.0
6,20,0,6,0,2,0.7,0.6515,0.48,0.0896,239,285.0
6,21,0,6,0,2,0.66,0.6212,0.47,0.1045,185,239.0
6,22,0,6,0,1,0.64,0.6212,0.57,0.2239,190,185.0
6,23,0,6,0,2,0.64,0.6212,0.57,0.0,150,190.0
