mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,target,lag_1h
9,0,0,4,1,1,0.6,0.5758,0.78,0.1045,51,84.0
9,1,0,4,1,1,0.6,0.5909,0.73,0.0896,21,51.0
9,2,0,4,1,1,0.58,0.5455,0.78,0.0896,25,21.0
9,3,0,4,1,1,0.58,0.5455,0.78,0.0896,14,25.0
9,4,0,4,1,1,0.56,0.5303,0.83,0.0896,7,14.0
9,5,0,4,1,1,0.56,0.5303,0.73,0.0896,23,7.0
9,6,0,4,1,1,0.6,0.5758,0.78,0.0,105,23.0
9,7,0,4,1,1,0.6,0.5758,0.78,0.0,342,105.0
9,8,0,4,1,1,0.62,0.5909,0.73,0.1343,498,342.0
9,9,0,4,1,1,0.64,0.6061,0.69,0.1045,207,498.0
9,10,0,4,1,1,0.68,0.6364,0.61,0.1343,138,207.0
9,11,0,4,1,1,0.72,0.6667,0.51,0.1343,192,138.0
9,12,0,4,1,2,0.72,0.6667,0.51,0.1343,229,192.0
9,13,0,4,1,2,0.72,0.6667,0.48,0.0896,219,229.0
9,14,0,4,1,3,0.72,0.6667,0.54,0.2537,198,219.0
9,15,0,4,1,1,0.72,0.6667,0.51,0.1343,174,198.0
9,16,0,4,1,1,0.74,0.6667,0.51,0.194,308,174.0
9,17,0,4,1,1,0.72,0.6667,0.54,0.2537,628,308.0
9,18,0,4,1,1,0.72,0.6667,0.54,0.2239,531,628.0
9,19,0,4,1,1,0.7,0.6515,0.58,0.1642,443,531.0
9,20,0,4,1,1,0.66,0.6212,0.61,0.2239,280,443.0
9,21,0,4,1,2,0.66,0.6212,0.57,0.194,177,280.0
9,22,0,4,1,2,0.66,0.6212,0.57,0.2239,179,177.0
9,23,0,4,1,1,0.64,0.6061,0.65,0.2537,126,179.0
9,0,0,5,1,1,0.64,0.6061,0.65,0.194,64,126.0
9,1,0,5,1,3,0.62,0.5909,0.73,0.1045,32,64.0
9,2,0,5,1,3,0.62,0.5909,0.73,0.1045,20,32.0
9,3,0,5,1,2,0.6,0.5606,0.83,0.1642,8,20.0
9,4,0,5,1,1,0.6,0.5606,0.83,0.0896,4,8.0
9,5,0,5,1,2,0.6,0.5606,0.83,0.1343,20,4.0
9,6,0,5,1,1,0.6,0.5606,0.83,0.1343,76,20.0
9,7,0,5,1,1,0.6,0.5606,0.83,0.1045,259,76.0
9,8,0,5,1,1,0.62,0.5909,0.78,0.194,456,259.0
9,9,0,5,1,2,0.62,0.5758,0.83,0.1045,220,456.0
9,10,0,5,1,2,0.64,0.6061,0.76,0.1642,140,220.0
9,11,0,5,1,2,0.66,0.6212,0.74,0.1045,192,140.0
9,12,0,5,1,2,0.66,0.6212,0.69,0.2239,260,192.0
9,13,0,5,1,2,0.68,0.6364,0.65,0.1343,279,260.0
9,14,0,5,1,2,0.7,0.6515,0.61,0.1045,283,279.0
9,15,0,5,1,2,0.7,0.6515,0.61,0.2537,346,283.0
9,16,0,5,1,2,0.7,0.6515,0.61,0.1343,381,346.0
9,17,0,5,1,2,0.68,0.6364,0.65,0.1642,455,381.0
9,18,0,5,1,2,0.68,0.6364,0.65,0.194,355,455.0
9,19,0,5,1,1,0.66,0.6212,0.69,0.1343,287,355.0
9,20,0,5,1,1,0.64,0.6061,0.73,0.0,196,287.0
9,21,0,5,1,2,0.64,0.6061,0.73,0.0896,149,196.0
9,22,0,5,1,2,0.64,0.6061,0.73,0.1642,147,149.0
9,23,0,5,1,2,0.64,0.6061,0.73,0.1642,98,147.0
9,0,0,6,0,2,0.64,0.6061,0.73,0.1045,87,98.0
9,1,0,6,0,2,0.64,0.6061,0.69,0.2537,74,87.0
9,2,0,6,0,2,0.64,0.6061,0.69,0.2239,41,74.0
9,3,0,6,0,1,0.62,0.5909,0.73,0.1642,35,41.0
9,4,0,6,0,1,0.62,0.5909,0.73,0.1642,7,35.0
9,5,0,6,0,1,0.62,0.6061,0.69,0.194,12,7.0
9,6,0,6,0,1,0.62,0.5909,0.73,0.1642,23,12.0
9,7,0,6,0,1,0.62,0.5909,0.73,0.194,38,23.0
9,8,0,6,0,1,0.64,0.6061,0.69,0.1642,89,38.0
9,9,0,6,0,2,0.66,0.6212,0.69,0.2537,201,89.0
9,10,0,6,0,3,0.66,0.6212,0.65,0.2537,258,201.0
9,11,0,6,0,3,0.66,0.6212,0.69,0.2836,194,258.0
9,12,0,6,0,1,0.7,0.6515,0.61,0.2239,257,194.0
9,13,0,6,0,1,0.7,0.6515,0.65,0.2239,353,257.0
9,14,0,6,0,2,0.72,0.6818,0.66,0.1642,380,353.0
9,15,0,6,0,1,0.72,0.6818,0.7,0.1642,388,380.0
9,16,0,6,0,1,0.72,0.6818,0.7,0.194,374,388.0
9,17,0,6,0,1,0.72,0.6818,0.7,0.2239,371,374.0
9,18,0,6,0,1,0.72,0.6818,0.7,0.1642,339,371.0
9,19,0,6,0,1,0.7,0.6667,0.74,0.1343,295,339.0
9,20,0,6,0,1,0.7,0.6667,0.79,0.1642,219,295.0
9,21,0,6,0,1,0.68,0.6364,0.83,0.1343,164,219.0
9,22,0,6,0,1,0.68,0.6364,0.83,0.1045,162,164.0
9,23,0,6,0,1,0.66,0.6212,0.85,0.1343,123,162.0
9,0,0,0,0,1,0.66,0.5909,0.89,0.194,109,123.0
9,1,0,0,0,1,0.66,0.6061,0.83,0.1343,75,109.0
9,2,0,0,0,1,0.66,0.6061,0.83,0.194,60,75.0
9,3,0,0,0,1,0.64,0.5758,0.89,0.194,43,60.0
9,4,0,0,0,1,0.64,0.5758,0.83,0.1642,4,43.0
9,5,0,0,0,1,0.64,0.5758,0.83,0.1343,6,4.0
9,6,0,0,0,1,0.64,0.5758,0.84,0.2239,3,6.0
9,7,0,0,0,1,0.66,0.6061,0.78,0.194,30,3.0
9,8,0,0,0,1,0.66,0.6061,0.78,0.1642,70,30.0
9,9,0,0,0,1,0.66,0.6061,0.78,0.1642,189,70.0
9,10,0,0,0,1,0.7,0.6667,0.74,0.1343,297,189.0
9,11,0,0,0,1,0.74,0.697,0.7,0.1642,337,297.0
9,12,0,0,0,1,0.76,0.7273,0.66,0.1642,435,337.0
9,13,0,0,0,2,0.78,0.7424,0.62,0.2836,419,435.0
9,14,0,0,0,1,0.78,0.7576,0.66,0.3284,361,419.0
9,15,0,0,0,1,0.78,0.7576,0.66,0.2836,410,361.0
9,16,0,0,0,1,0.8,0.7727,0.59,0.2239,337,410.0
9,17,0,0,0,1,0.76,0.7273,0.66,0.2239,376,337.0
9,18,0,0,0,1,0.76,0.7273,0.66,0.194,356,376.0
9,19,0,0,0,1,0.74,0.697,0.7,0.194,328,356.0
9,20,0,0,0,1,0.74,0.697,0.7,0.2985,229,328.0
9,21,0,0,0,1,0.72,0.697,0.74,0.2537,207,229.0
9,22,0,0,0,2,0.72,0.697,0.74,0.2836,155,207.0
9,23,0,0,0,2,0.72,0.6818,0.7,0.1642,104,155.0
9,0,1,1,0,2,0.7,0.6667,0.74,0.2239,97,104.0
9,1,1,1,0,2,0.68,0.6364,0.79,0.1045,54,97.0
9,2,1,1,0,2,0.68,0.6364,0.79,0.1642,39,54.0
9,3,1,1,0,2,0.68,0.6364,0.74,0.2985,16,39.0
9,4,1,1,0,2,0.68,0.6364,0.69,0.2836,8,16.0
9,5,1,1,0,2,0.66,0.6212,0.74,0.1642,6,8.0
9,6,1,1,0,2,0.66,0.6212,0.74,0.1343,11,6.0
9,7,1,1,0,1,0.66,0.6212,0.74,0.1642,41,11.0
9,8,1,1,0,2,0.66,0.6061,0.78,0.194,101,41.0
9,9,1,1,0,3,0.68,0.6364,0.74,0.1642,152,101.0
9,10,1,1,0,2,0.7,0.6515,0.7,0.1642,244,152.0
9,11,1,1,0,2,0.7,0.6667,0.74,0.1642,308,244.0
9,12,1,1,0,2,0.72,0.6818,0.7,0.194,353,308.0
9,13,1,1,0,2,0.74,0.697,0.7,0.1343,389,353.0
9,14,1,1,0,1,0.74,0.697,0.7,0.1642,357,389.0
9,15,1,1,0,2,0.68,0.6364,0.79,0.2836,253,357.0
9,16,1,1,0,2,0.68,0.6364,0.79,0.2836,284,253.0
9,17,1,1,0,2,0.66,0.5909,0.89,0.1045,114,284.0
9,18,1,1,0,1,0.66,0.5909,0.89,0.0896,123,114.0
9,19,1,1,0,3,0.66,0.5909,0.94,0.1045,175,123.0
9,20,1,1,0,3,0.66,0.5909,0.94,0.2537,82,175.0
9,21,1,1,0,2,0.66,0.5909,0.94,0.2985,60,82.0
9,22,1,1,0,2,0.6,0.5455,0.88,0.5821,64,60.0
9,23,1,1,0,3,0.56,0.5303,0.88,0.3881,20,64.0
9,0,0,2,1,3,0.54,0.5152,0.94,0.3582,8,20.0
9,2,0,2,1,3,0.54,0.5152,0.94,0.2537,2,8.0
9,3,0,2,1,3,0.54,0.5152,0.94,0.2985,1,2.0
9,4,0,2,1,2,0.54,0.5152,0.94,0.2985,4,1.0
9,5,0,2,1,3,0.54,0.5152,0.88,0.3582,21,4.0
9,6,0,2,1,2,0.54,0.5152,0.88,0.3284,72,21.0
9,7,0,2,1,2,0.54,0.5152,0.83,0.3582,172,72.0
9,8,0,2,1,3,0.54,0.5152,0.83,0.3881,364,172.0
9,9,0,2,1,2,0.54,0.5152,0.81,0.4179,185,364.0
9,10,0,2,1,3,0.54,0.5152,0.83,0.3582,106,185.0
9,11,0,2,1,3,0.54,0.5152,0.83,0.3881,89,106.0
9,12,0,2,1,3,0.54,0.5152,0.83,0.3881,67,89.0
9,13,0,2,1,3,0.54,0.5152,0.88,0.2985,29,67.0
9,14,0,2,1,3,0.54,0.5152,0.88,0.2836,24,29.0
9,15,0,2,1,3,0.54,0.5152,0.94,0.3881,89,24.0
9,16,0,2,1,3,0.54,0.5152,0.94,0.3881,106,89.0
9,17,0,2,1,2,0.54,0.5152,0.88,0.3881,291,106.0
9,18,0,2,1,2,0.54,0.5152,0.88,0.3881,373,291.0
9,19,0,2,1,2,0.54,0.5152,0.88,0.4179,281,373.0
9,20,0,2,1,3,0.54,0.5152,0.88,0.2985,163,281.0
9,21,0,2,1,3,0.54,0.5152,0.88,0.2836,121,163.0
9,22,0,2,1,2,0.54,0.5152,0.94,0.3284,84,121.0
9,23,0,2,1,3,0.54,0.5152,0.94,0.2537,58,84.0
9,0,0,3,1,2,0.54,0.5152,0.94,0.2239,13,58.0
9,1,0,3,1,3,0.54,0.5152,0.94,0.2537,5,13.0
9,2,0,3,1,2,0.54,0.5152,0.94,0.2239,6,5.0
9,3,0,3,1,3,0.56,0.5303,0.94,0.1343,2,6.0
9,4,0,3,1,3,0.56,0.5303,0.94,0.1642,4,2.0
9,5,0,3,1,2,0.56,0.5303,1.0,0.1343,16,4.0
9,6,0,3,1,3,0.6,0.5455,0.88,0.1045,75,16.0
9,7,0,3,1,3,0.6,0.5455,0.88,0.0896,86,75.0
9,8,0,3,1,3,0.62,0.5455,0.94,0.0896,328,86.0
9,9,0,3,1,3,0.6,0.5455,0.88,0.1343,190,328.0
9,10,0,3,1,3,0.6,0.5455,0.88,0.1343,66,190.0
9,11,0,3,1,3,0.6,0.5152,0.94,0.0,10,66.0
9,12,0,3,1,3,0.56,0.5303,0.94,0.0,22,10.0
9,13,0,3,1,3,0.6,0.5455,0.88,0.0,11,22.0
9,14,0,3,1,3,0.6,0.5152,0.93,0.0,25,11.0
9,15,0,3,1,3,0.62,0.5455,0.94,0.1045,58,25.0
9,16,0,3,1,1,0.64,0.5758,0.89,0.0,144,58.0
9,17,0,3,1,3,0.64,0.5758,0.89,0.0,285,144.0
9,18,0,3,1,3,0.64,0.5758,0.89,0.0,237,285.0
9,19,0,3,1,2,0.64,0.5758,0.89,0.0,226,237.0
9,20,0,3,1,3,0.64,0.5758,0.89,0.0896,96,226.0
9,21,0,3,1,3,0.64,0.5758,0.89,0.0896,38,96.0
9,22,0,3,1,3,0.62,0.5455,0.94,0.1642,29,38.0
9,23,0,3,1,3,0.62,0.5455,0.94,0.194,24,29.0
9,0,0,4,1,3,0.6,0.5,1.0,0.194,14,24.0
9,1,0,4,1,3,0.62,0.5455,0.94,0.1045,4,14.0
9,3,0,4,1,3,0.62,0.5455,0.94,0.0,2,4.0
9,4,0,4,1,2,0.62,0.5455,0.94,0.0896,3,2.0
9,5,0,4,1,3,0.62,0.5455,0.94,0.0896,14,3.0
9,6,0,4,1,3,0.62,0.5455,0.94,0.1642,56,14.0
