mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,target,lag_1h
3,0,0,2,1,1,0.3,0.2727,0.7,0.4627,7,45.0
3,1,0,2,1,1,0.26,0.2273,0.7,0.3582,3,7.0
3,2,0,2,1,1,0.24,0.2121,0.65,0.3881,4,3.0
3,3,0,2,1,1,0.22,0.2121,0.69,0.2836,2,4.0
3,4,0,2,1,1,0.22,0.2121,0.69,0.2537,1,2.0
3,5,0,2,1,1,0.2,0.1818,0.64,0.2836,2,1.0
3,6,0,2,1,1,0.2,0.1818,0.59,0.2985,46,2.0
3,7,0,2,1,1,0.2,0.1818,0.59,0.3284,107,46.0
3,8,0,2,1,1,0.2,0.1818,0.59,0.3881,214,107.0
3,9,0,2,1,1,0.22,0.197,0.55,0.4179,124,214.0
3,10,0,2,1,1,0.24,0.2121,0.52,0.2836,68,124.0
3,11,0,2,1,1,0.28,0.2727,0.45,0.2537,56,68.0
3,12,0,2,1,1,0.3,0.303,0.39,0.1343,86,56.0
3,13,0,2,1,1,0.32,0.3485,0.39,0.0,78,86.0
3,14,0,2,1,1,0.32,0.3333,0.36,0.1343,79,78.0
3,15,0,2,1,1,0.34,0.3636,0.34,0.0,64,79.0
3,16,0,2,1,1,0.34,0.3485,0.34,0.0896,102,64.0
3,17,0,2,1,1,0.34,0.3485,0.34,0.0896,242,102.0
3,18,0,2,1,1,0.32,0.3182,0.39,0.194,224,242.0
3,19,0,2,1,1,0.3,0.303,0.49,0.1343,119,224.0
3,20,0,2,1,1,0.3,0.3182,0.61,0.0896,88,119.0
3,21,0,2,1,1,0.26,0.303,0.56,0.0,63,88.0
3,22,0,2,1,1,0.24,0.2727,0.62,0.1045,47,63.0
3,23,0,2,1,1,0.24,0.2273,0.65,0.2239,25,47.0
3,0,0,3,1,1,0.22,0.2273,0.69,0.1642,8,25.0
3,1,0,3,1,1,0.22,0.2273,0.69,0.194,4,8.0
3,2,0,3,1,1,0.22,0.2273,0.69,0.194,2,4.0
3,3,0,3,1,1,0.22,0.2121,0.69,0.2836,4,2.0
3,4,0,3,1,1,0.2,0.2121,0.75,0.1343,1,4.0
3,5,0,3,1,1,0.22,0.2121,0.69,0.2239,5,1.0
3,6,0,3,1,1,0.22,0.2121,0.55,0.2537,40,5.0
3,7,0,3,1,1,0.22,0.2121,0.64,0.2537,110,40.0
3,8,0,3,1,1,0.24,0.2121,0.65,0.2836,256,110.0
3,9,0,3,1,1,0.28,0.2576,0.56,0.2985,148,256.0
3,10,0,3,1,1,0.32,0.303,0.49,0.2836,76,148.0
3,11,0,3,1,1,0.34,0.303,0.53,0.3284,73,76.0
3,12,0,3,1,1,0.4,0.4091,0.43,0.194,82,73.0
3,13,0,3,1,1,0.5,0.4848,0.25,0.0,125,82.0
3,14,0,3,1,1,0.52,0.5,0.23,0.2985,96,125.0
3,15,0,3,1,1,0.54,0.5152,0.19,0.4179,110,96.0
3,16,0,3,1,1,0.54,0.5152,0.19,0.3284,139,110.0
3,17,0,3,1,1,0.5,0.4848,0.23,0.2836,268,139.0
3,18,0,3,1,1,0.46,0.4545,0.23,0.4925,201,268.0
3,19,0,3,1,1,0.4,0.4091,0.28,0.5224,150,201.0
3,20,0,3,1,1,0.36,0.3333,0.29,0.4179,95,150.0
3,21,0,3,1,1,0.34,0.2879,0.29,0.4627,71,95.0
3,22,0,3,1,1,0.3,0.2576,0.26,0.5522,48,71.0
3,23,0,3,1,1,0.26,0.2121,0.3,0.5224,22,48.0
3,0,0,4,1,1,0.24,0.197,0.3,0.4627,13,22.0
3,1,0,4,1,1,0.24,0.197,0.3,0.4627,1,13.0
3,2,0,4,1,1,0.2,0.1667,0.27,0.4627,3,1.0
3,3,0,4,1,1,0.2,0.1667,0.27,0.4627,1,3.0
3,4,0,4,1,1,0.16,0.1212,0.31,0.4925,1,1.0
3,5,0,4,1,1,0.14,0.1212,0.33,0.2985,8,1.0
3,6,0,4,1,1,0.14,0.1212,0.33,0.2985,35,8.0
3,7,0,4,1,1,0.12,0.0909,0.42,0.4179,111,35.0
3,8,0,4,1,1,0.14,0.1212,0.39,0.2985,220,111.0
3,9,0,4,1,1,0.16,0.1364,0.37,0.2836,145,220.0
3,10,0,4,1,1,0.18,0.1818,0.29,0.194,56,145.0
3,11,0,4,1,1,0.2,0.2273,0.29,0.0896,50,56.0
3,12,0,4,1,1,0.22,0.2273,0.25,0.1343,72,50.0
3,13,0,4,1,1,0.22,0.2576,0.25,0.0896,80,72.0
3,14,0,4,1,1,0.24,0.2576,0.21,0.1045,78,80.0
3,15,0,4,1,1,0.24,0.2879,0.23,0.0,68,78.0
3,16,0,4,1,1,0.26,0.303,0.23,0.0,71,68.0
3,17,0,4,1,1,0.26,0.303,0.22,0.0,202,71.0
3,18,0,4,1,1,0.24,0.2121,0.35,0.3284,167,202.0
3,19,0,4,1,1,0.2,0.197,0.4,0.2537,106,167.0
3,20,0,4,1,1,0.2,0.2273,0.4,0.0896,70,106.0
3,21,0,4,1,1,0.18,0.2121,0.4,0.1045,51,70.0
3,22,0,4,1,1,0.2,0.2576,0.4,0.0,53,51.0
3,23,0,4,1,2,0.18,0.2121,0.43,0.0896,23,53.0
3,0,0,5,1,2,0.2,0.197,0.55,0.194,12,23.0
3,1,0,5,1,2,0.18,0.1818,0.64,0.194,4,12.0
3,2,0,5,1,2,0.18,0.1818,0.64,0.194,2,4.0
3,3,0,5,1,2,0.18,0.1667,0.74,0.2537,1,2.0
3,4,0,5,1,2,0.18,0.1818,0.74,0.194,1,1.0
3,5,0,5,1,2,0.16,0.1818,0.74,0.1343,7,1.0
3,6,0,5,1,2,0.16,0.197,0.74,0.0896,29,7.0
3,7,0,5,1,1,0.16,0.1818,0.8,0.1343,83,29.0
3,8,0,5,1,1,0.18,0.197,0.74,0.1343,228,83.0
3,9,0,5,1,1,0.22,0.2273,0.6,0.1343,150,228.0
3,10,0,5,1,1,0.24,0.2273,0.6,0.2537,66,150.0
3,11,0,5,1,1,0.28,0.2727,0.52,0.2239,89,66.0
3,12,0,5,1,1,0.32,0.303,0.43,0.1642,97,89.0
3,13,0,5,1,1,0.34,0.3182,0.42,0.2239,87,97.0
3,14,0,5,1,1,0.36,0.3333,0.4,0.2836,95,87.0
3,15,0,5,1,1,0.36,0.3333,0.4,0.2985,106,95.0
3,16,0,5,1,1,0.36,0.3485,0.46,0.194,118,106.0
3,17,0,5,1,2,0.36,0.3333,0.5,0.2537,228,118.0
3,18,0,5,1,2,0.34,0.303,0.53,0.2985,187,228.0
3,19,0,5,1,1,0.32,0.303,0.61,0.2537,107,187.0
3,20,0,5,1,2,0.3,0.2879,0.7,0.194,87,107.0
3,21,0,5,1,2,0.3,0.2879,0.7,0.2239,70,87.0
3,22,0,5,1,1,0.3,0.2879,0.7,0.194,44,70.0
3,23,0,5,1,2,0.3,0.303,0.75,0.1642,46,44.0
3,0,0,6,0,2,0.28,0.2879,0.81,0.1045,19,46.0
3,1,0,6,0,2,0.3,0.3182,0.81,0.1045,25,19.0
3,2,0,6,0,2,0.3,0.2879,0.87,0.194,20,25.0
3,3,0,6,0,2,0.3,0.2879,0.87,0.194,2,20.0
3,4,0,6,0,2,0.3,0.303,0.93,0.1642,1,2.0
3,5,0,6,0,2,0.3,0.303,1.0,0.1343,3,1.0
3,6,0,6,0,2,0.3,0.2879,1.0,0.2239,4,3.0
3,7,0,6,0,2,0.3,0.2727,1.0,0.2985,15,4.0
3,8,0,6,0,2,0.3,0.2727,1.0,0.2985,45,15.0
